id,label,markets,terms,presentation,gtin,commercial_name,official_prices,product_id,type
50,000050_FG_MEROPENEM_500mg_10x500mg_FR,"[""FR""]",{},"{""type"":""FG"",""packs_per_box"":10,""product_weight_per_unit"":""500mg""}",,,,219677,sku
42,000042_FG_MEROPENEM_1g_10x1g_FR,"[""FR""]",{},"{""box"":{""gross_weight"":{""unit"":""kg"",""value"":11.8}},""type"":""FG""}",,,,219677,sku
57,000057_FG_CEFTRIAXONE_1g/4mL_1x1/4mL_IQ,"[""IQ""]",{},"{""box"":{""gross_weight"":{""unit"":""kg"",""value"":4.45}},""type"":""FG"",""strength"":""1g/4mL""}",,,,219672,sku
58,000058_FG_CEFTRIAXONE_1g/10mL_1x1/10mL_IQ,"[""IQ""]",{},"{""box"":{""gross_weight"":{""unit"":""kg"",""value"":5.58}},""type"":""FG"",""strength"":""1g/10mL""}",,,,219672,sku
71,000071_FG_CEFOXITINE_1g_10x1g_VN,"[""VN""]",{},"{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":28},""height"":{""unit"":""cm"",""value"":29},""length"":{""unit"":""cm"",""value"":54},""gross_weight"":{""unit"":""kg"",""value"":25.03}},""pack"":{""width"":{""unit"":""cm"",""value"":5.42},""height"":{""unit"":""cm"",""value"":6.55},""length"":{""unit"":""cm"",""value"":13.3}},""type"":""FG"",""packs_per_box"":80,""boxes_per_epal"":24,""product_weight_per_unit"":""1g""}",,,,1277192,sku
61,000061_FG_TESTAVAN_20mg/g_3x85.5g_FI_NO_SE,"[""FI"",""NO"",""SE""]",{},"{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,,,23646,sku
70,000070_FG_TESTAVAN-REFILL_20mg/g_1x85.5g_DE,"[""DE""]",{},"{""box"":{""tare"":{""unit"":""kg"",""value"":1},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""type"":""FG"",""packs_per_box"":48,""boxes_per_epal"":20,""product_weight_per_unit"":""85.5 g""}",,,,23646,sku
2,000002_FG_TESTAVAN_20mg/g_1x85.5g_AU,"[""AU""]","{""invoiced_price"":{""amount"":65.99,""currency"":""AUD""}}","{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,,"[{""type"":""wpp"",""value"":""65.99"",""country"":""AU"",""currency"":""AUD"",""source_url"":""https://www.pbs.gov.au/info/industry/pricing/ex-manufacturer-price""}]",23646,sku
9,000009_FG_TESTAVAN_20mg/g_1x85.5g_ES,"[""ES""]","{""invoiced_price"":{""amount"":29.11,""currency"":""EUR""}}","{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,,"[{""type"":""wpp"",""value"":""29.11"",""country"":""ES"",""currency"":""EUR"",""source_document"":""https://github.com/simplepharma/qms/blob/master/documents/market_access/RE_Portugal-new-price.msg""},{""type"":""psp"",""value"":""45.44"",""country"":""ES"",""currency"":""EUR"",""source_document"":""https://www.sanidad.gob.es/profesionales/nomenclator.do?metodo=buscarProductos""}]",23646,sku
66,000066_FG_TESTAVAN_20mg/g_1x85.5g_EE_LT,"[""EE"",""LT""]",{},"{""box"":{""tare"":{""unit"":""kg"",""value"":1},""width"":{""unit"":""cm"",""value"":45.5},""height"":{""unit"":""cm"",""value"":19},""length"":{""unit"":""cm"",""value"":34.5},""gross_weight"":{""unit"":""kg"",""value"":8.4}},""pack"":{""width"":{""unit"":""cm"",""value"":6.3},""height"":{""unit"":""cm"",""value"":6.3},""length"":{""unit"":""cm"",""value"":17}},""type"":""FG"",""packs_per_box"":35,""boxes_per_epal"":20,""units_per_pack"":1,""product_weight_per_unit"":""85.5 g""}",,,,23646,sku
